| Paint | PRDII06AA | m3 | 561.7990436895693 | 76.25667323490318 |
| Cement | PRDO66N7O | sack/s | 753 | 103.34841436882995 |
| Cement | PRDO6L72L | sack/s | 358 | 135.44996514805484 |
| Insulation | PRD8M69PM | set/s | 758 | 143.0370445804638 |
| Tool | PRD6QQ59Q | set/s | 230 | 85.53266752967977 |
| Tool | PRD7HH6R0 | pc/s | 851 | 107.26795138129117 |
| Roofing | PRDT75S1T | yrd2 | 982.6572562030541 | 135.00428263247198 |
| Electrical | PRD2MM7T2 | cm | 637.0386009556456 | 28.118581159677596 |
| Plumbing | PRD9H7H3U | m | 319.5036408909877 | 83.186635596249 |
| Tool | PRDIV374I | set/s | 929 | 75.60145000459114 |
| Cement | PRD5F7WF6 | sack/s | 727 | 91.29310539509757 |
| Insulation | PRDI96IX7 | set/s | 322 | 74.40278487243252 |
| Insulation | PRDY7C9C7 | pair/s | 446 | 123.4971575699633 |
| Lumber | PRD3NA78N | ft | 671.5491833093337 | 119.45662801961608 |
| Tool | PRDP9P76B | pc/s | 742 | 89.59852938666087 |
| Paint | PRD038OCO | ft3 | 421.4283332114662 | 63.51137550761117 |
| Roofing | PRD16DD8D | m2 | 267.4859121911117 | 46.593246021994 |
| Cement | PRD2NEN58 | sack/s | 353 | 124.37030262189045 |
| Roofing | PRD83RF8R | ft2 | 140.04186376382705 | 113.3818507898716 |
| Paint | PRD4RR7G8 | m3 | 926.2445299725962 | 149.79370456637628 |
| Insulation | PRDFHF528 | pair/s | 456 | 122.49689942105127 |
| Roofing | PRDE869EI | ft2 | 217.3836949999101 | 66.6486074347214 |
| Paint | PRD278ZZJ | pair/s | 465.8155844118772 | 40.8043455871275 |
| Plumbing | PRD87KX8X | inch | 829.9593812665948 | 91.70913248902308 |
| Insulation | PRD93BL8B | set/s | 647 | 82.97667833596871 |
| Cement | PRD9KKM70 | sack/s | 883 | 49.59446453585286 |
| Cement | PRD149NXX | sack/s | 959 | 46.02600428349008 |
| Plumbing | PRDM9M2O8 | inch | 783.8893127965001 | 27.293119777853235 |
| Insulation | PRDK3K9P1 | pair/s | 731 | 21.98104339249311 |
| Electrical | PRD94J9QJ | yrd | 483.7593822307177 | 116.40229349458204 |
| Insulation | PRDDR89D5 | pc/s | 315 | 35.538118224666924 |
| Roofing | PRDS7NN96 | m2 | 923.9770815704508 | 75.52290861598372 |
| Cement | PRDLT497L | sack/s | 536 | 62.85656607417488 |
| Electrical | PRD9UM8M1 | m | 502.37158758497264 | 101.27550104327614 |
| Plumbing | PRDLL0A4V | pc/s | 345.4633746002461 | 96.66222839656093 |
| Plumbing | PRD1UWA2U | m | 968.8659777731472 | 51.95576567645894 |
| Lumber | PRDBABX12 | inch | 177.20937923675143 | 63.51816126994199 |
| Plumbing | PRDW3Y2AW | cm | 230.99853571371597 | 84.18975942726759 |
| Tool | PRD4A7AVV | pc/s | 474 | 102.02868385960431 |
| Cement | PRDBYY25A | sack/s | 784 | 60.6057226130279 |
| Plumbing | PRDAC6XX8 | inch | 465.9459376491395 | 35.467838559016734 |
| Tool | PRD7ZA8DZ | set/s | 885 | 20.74986632156543 |
| Tool | PRDAE98QQ | set/s | 800 | 83.59754406810578 |
| Paint | PRDAF4F9F | ft3 | 685.0182820740795 | 44.62324750397438 |
| Tool | PRD013VGAV | pc/s | 419 | 53.13253196289004 |
| Plumbing | PRDHIIA111 | ft | 369.14662398504896 | 143.09702859958497 |
| Tool | PRD9I21SAS | set/s | 699 | 138.09308323952953 |
| Insulation | PRDLLA31J8 | pair/s | 610 | 41.511489319567964 |
| Paint | PRDA41KK4K | cm3 | 709.343225446631 | 130.99191623985718 |
| Insulation | PRDLA1C75C | pair/s | 548 | 77.5296918032713 |
| Roofing | PRDZMZ61A8 | ft2 | 735.867196711389 | 67.40803371241016 |
| Tool | PRDU11UNA7 | pc/s | 735 | 147.3585859272574 |
| Plumbing | PRD8ZZ81OA | inch | 458.3969196702838 | 83.93108735525107 |
| Roofing | PRDIA918IP | inch2 | 551.333239524336 | 144.4389436139236 |
| Roofing | PRDN3N0QA2 | inch2 | 753.3680368886806 | 37.36971002251986 |
| Roofing | PRD22AFR1F | cm2 | 507.5372004084413 | 56.9653756407698 |
| Plumbing | PRDM29MSA2 | pc/s | 399.3697281096314 | 105.9830739446237 |
| Electrical | PRDG6AGT23 | m | 208.9850566046213 | 122.40846204029761 |
| Insulation | PRDA4IUI27 | pair/s | 933 | 32.72131864448055 |
| Electrical | PRDA5UV2U5 | cm | 681.0462213155813 | 96.45148614563048 |
| Cement | PRDR2WA2R6 | sack/s | 386 | 60.54515310062347 |
| Electrical | PRDA27QQX2 | cm | 571.4205413244123 | 120.227963073356 |
| Lumber | PRDA9YY8Y2 | inch | 428.85679243130596 | 61.65309021068565 |
| Cement | PRDA29UUA1 | sack/s | 863 | 68.67502826278509 |
| Insulation | PRDFB360AF | pc/s | 613 | 85.69272348118253 |
| Cement | PRDYC1A73Y | sack/s | 88 | 81.44408432245655 |
| Plumbing | PRDLA5D23L | set/s | 384.52907346606725 | 32.127222012729305 |
| Tool | PRDE3VV3A4 | pc/s | 669 | 67.2089665439683 |
| Lumber | PRD4N3FNA1 | ft | 879.2379960007225 | 146.3759365852655 |
| Electrical | PRDACC653G | inch | 154.3222809559918 | 66.17458473939757 |
| Paint | PRDF3AF6H2 | inch3 | 424.8581809173553 | 87.60271344728646 |
| Paint | PRD3IHA73H | L | 875.4777681842843 | 138.6606262146354 |
| Cement | PRDWW8J38A | sack/s | 608 | 129.62386441630042 |
| Lumber | PRD93AOKO1 | m | 321.4248609601878 | 146.59217975087628 |
| Electrical | PRD4U1LUA0 | set/s | 360.7878736836711 | 102.3397651204542 |
| Paint | PRDA4G1MG4 | set/s | 304.8193476249578 | 102.92959627352464 |
| Plumbing | PRD4AA2N7A | set/s | 474.4291162033363 | 62.15417608828382 |
| Plumbing | PRD43OUA5U | pair/s | 426.98611251901406 | 58.9935210261629 |
| Insulation | PRDR4R4A5P | pc/s | 960 | 31.31037390231252 |
| Insulation | PRD465AFQF | set/s | 201 | 63.797747915026115 |
| Cement | PRD6ARN4N4 | sack/s | 871 | 57.18292018971805 |
| Plumbing | PRD3D7AD4S | yrd | 203.42491522782814 | 93.12949609680777 |
| Tool | PRDT6AJ48J | set/s | 536 | 88.76311355069305 |
| Cement | PRD93OAU4O | sack/s | 102 | 114.1049094636141 |
| Plumbing | PRDA02Q5VQ | yrd | 953.0716476775946 | 56.98171685168785 |
| Plumbing | PRD85AWZ1Z | ft | 494.18199235493154 | 138.78382883947586 |
| Cement | PRDX2U5A8U | sack/s | 110 | 41.6470288415604 |
| Plumbing | PRDA5BY23B | inch | 100.28024945229741 | 132.25682887644783 |
| Lumber | PRD4CC5AA5 | inch | 906.4642086429866 | 62.34161062909631 |
| Insulation | PRD2BA5HH5 | set/s | 102 | 32.20463998095017 |
| Electrical | PRDAOC645O | inch | 129.6597610630295 | 77.29044863124268 |
| Lumber | PRD5DPP7A7 | cm | 354.248084955855 | 58.026809092846335 |
| Insulation | PRD85WWEA6 | set/s | 528 | 24.649277898832178 |
| Electrical | PRDAF5B69B | yrd | 287.97716314585193 | 114.04158817982544 |
| Insulation | PRDG6YY0A7 | pair/s | 354 | 76.7201064249455 |
| Lumber | PRD6H91EAE | cm | 281.4491584804573 | 101.92176588764649 |
| Paint | PRD82U6UIA | m3 | 902.356364627617 | 131.23909557384795 |
| Lumber | PRDT3J6T9A | cm | 957.2608446824332 | 127.09411632199433 |
| Lumber | PRD64KE7AE | cm | 208.9166987178371 | 113.40143866310802 |
| Insulation | PRD3JAL65J | pair/s | 882 | 126.87495057309302 |
| Tool | PRD66AM5VV | set/s | 399 | 123.42146532003073 |
| Cement | PRDFA6N37F | sack/s | 580 | 61.499643579223395 |
| Lumber | PRD8I6AI6O | m | 868.1246170847438 | 122.08883363147734 |
| Electrical | PRDOOA96P1 | yrd | 187.05615272387817 | 88.18103843167557 |
| Insulation | PRDF7QFA09 | pc/s | 326 | 138.1918396231629 |
| Electrical | PRD1L79ARL | inch | 965.2876925539451 | 24.698654950437394 |
| Paint | PRD8N2A7SN | pair/s | 774.7507444612628 | 139.18029964608232 |
| Paint | PRDE73ATE5 | inch3 | 229.3040576227154 | 148.6368399173104 |
| Roofing | PRDU47AZZ5 | ft2 | 601.2667243116181 | 28.251513868968573 |
| Lumber | PRDGV4A5G7 | yrd | 651.118492942429 | 128.2832546237547 |
| Tool | PRDHHW627A | pc/s | 602 | 116.3673150479351 |
| Electrical | PRDAC57X7C | cm | 461.61529343771724 | 137.3197994020261 |
| Insulation | PRD8YXX73A | set/s | 991 | 22.844358855997662 |
| Lumber | PRD5T97AAT | inch | 691.3987922349444 | 73.74464645669607 |
| Plumbing | PRDJ4BA08J | pair/s | 752.4331693724713 | 70.50377641642048 |
| Electrical | PRD51A8CAA | pc/s | 708.7640812927967 | 140.9738467686166 |
| Plumbing | PRD2AUDU82 | pc/s | 837.3936339796304 | 108.50149478425796 |
| Roofing | PRD5E3QQ8A | yrd2 | 328.81293635783163 | 71.86762146578988 |
| Plumbing | PRDFT8T46A | ft | 421.1932926937527 | 103.68155156363838 |
| Lumber | PRD8H5G2HA | inch | 92.69597225371265 | 73.29735570319897 |
| Insulation | PRD186AJJH | pair/s | 620 | 90.22632635005874 |
| Electrical | PRDIN2AN87 | m | 320.80657678021157 | 145.61953194281475 |
| Lumber | PRD8BA8JB7 | cm | 220.68808916398785 | 47.51689866787693 |
| Tool | PRD98YA9KY | pc/s | 156 | 49.110348765344575 |
| Lumber | PRDA04Q9LQ | yrd | 295.2198944158557 | 39.64398628350756 |
| Lumber | PRD1A3Q9MQ | cm | 965.6647663907709 | 74.4987220039083 |
| Insulation | PRDN29N7NA | pair/s | 656 | 21.91356670046625 |
| Insulation | PRDA9X93OX | pc/s | 378 | 96.71449665774496 |
| Plumbing | PRD94EE4PA | cm | 911.4418783118169 | 129.96527651057212 |
| Paint | PRD59H3AQH | L | 726.6980540224635 | 70.84652091398134 |
| Roofing | PRDERA926E | inch2 | 532.303318649487 | 33.659739008634034 |
| Paint | PRD9A6S7SS | cm3 | 580.6007391348239 | 52.71029371142494 |
| Tool | PRD96TCCA8 | pc/s | 443 | 58.1837631152941 |
| Tool | PRDUAAAB70 | set/s | 318 | 30.402831733843946 |
| Lumber | PRDV1W2W | inch | 662.7037382495784 | 40.424387833422784 |
| Lumber | PRDZ4W2Z | m | 675.4165973423866 | 102.89934310859283 |
| Insulation | PRDQ7Q3X | set/s | 156 | 24.446258300299686 |
| Plumbing | PRD6GYG4 | cm | 923.6980158827093 | 93.19005138540044 |
